Expected total cost with zero initial inventory (Gn): 
	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
30	186.81137541697666	185.6113754169767	184.04214464774589	181.99447400852588	179.355064737365	176.0337704403047	171.99947610347536	167.30540078617807	162.08129401955532	156.49122326132976	150.68399424400306	144.76514421747765	138.79597490581187	132.8066377335765	126.80663773357641	120.80663773357642	114.80663773357645	108.80633417936531	102.8036344205186	96.7914516127007	90.75414107740166	84.76263866417196	79.07426381874829	74.04388201937938	69.90661808270066	66.65264862674373	64.07656180057111	61.909503813371145	59.92266129189776	57.96532403142673	55.95840809063483	53.873999533813034	51.71740708964379	49.51494631064905	47.305508023322396	45.13372012997855	43.04545205569165	41.083079758364505	39.28282282850051	37.673214778878425	36.27461137163712	35.09952801375214	34.15349227688992	33.43606792441095	32.94179702868381	32.660972240388325	32.58029302849213	32.68351610592254	32.95218542936479	33.366461209365596	33.906004829849586	
29	187.17731910242006	185.9773191024201	184.4080883331894	182.36041769396937	179.72100842280847	176.3997141257482	172.36541978891893	167.67134447162158	162.44723770499863	156.85716694677328	151.04993792944668	145.13108790292088	139.16191859125513	133.17258141901982	127.17258141901988	121.17258141901992	115.17258141901986	109.17258141901995	103.1722778648088	97.16957810596202	91.15736765141554	85.21583814091831	79.60729068394663	74.68370123471459	70.67028261345585	67.54518254798775	65.09443087711051	63.046699023492486	61.175115841708596	59.33109613795395	57.434126364920274	55.45011240714187	53.37473827365682	51.223724346692244	49.02679383341796	46.82260490965083	44.65528524428757	42.56995195877783	40.609529207606585	38.812070733419034	37.20879541309741	35.82297424444935	34.66962325479103	33.755799041068975	33.0812572550248	32.63931073388287	32.417818929891986	32.40028912278464	32.567067346163576	32.89656732944024	33.3664612093656	
28	187.6135395503274	186.4135395503274	184.84430878109657	182.79663814187683	180.15722887071584	176.83593457365555	172.80164023682627	168.1075649195288	162.88345815290594	157.2933873946805	151.48615837735395	145.56730835082828	139.59813903916253	133.6088018669273	127.60880186692722	121.60880186692725	115.60880186692724	109.60880186692721	103.60880186692721	97.60849831271608	91.6057812159359	85.6894079858417	80.13087818064778	75.2867098133345	71.37818711045061	68.37214395767501	66.0417587571197	64.10784147825072	62.343121936009105	60.60326416275649	58.8114410643989	56.932830753867464	54.95702223992874	52.88956017184806	50.74828765367908	48.56098863596438	46.364393994138936	44.20132743692558	42.1178839544395	40.15987136869818	38.36915471053293	36.78062729298606	35.4202456668347	34.30419961493893	33.43903708825721	32.82248924944881	32.444760512223716	32.29008999907747	32.33842475698517	32.56706734616359	32.95218542936479	
27	188.14128788095786	186.94128788095787	185.37205711172706	183.3243864725072	180.68497720134624	177.36368290428607	173.3293885674567	168.63531325015936	163.41120648353643	157.82113572531097	152.01390670798432	146.0950566814588	140.12588736979296	134.13655019755774	128.13655019755765	122.13655019755772	116.13655019755768	110.13655019755771	104.1365501975577	98.13655019755771	92.13623967293637	86.22947694905294	80.69648907785381	75.90287012654963	72.07344046054702	69.16895516743392	66.94910254626176	65.12160004205062	63.453680418751674	61.804216621274065	60.10373855159123	58.32299926052271	56.451407564211344	54.48743527499259	52.436363967460736	50.311194465959076	48.13562769954593	45.94447524941517	43.78238519432429	41.69994045284087	39.74830118753037	37.97392768705508	36.41451749864457	35.09665063973767	34.03509279829023	33.23341569955175	32.68550114540957	32.377524096218906	32.29008999907748	32.40028912278465	32.68351610592251	
26	188.77820869815426	187.57820869815436	186.00897792892343	183.9613072897035	181.32189801854258	178.0006037214825	173.96630938465307	169.2722340673558	164.04812730073277	158.45805654250742	152.65082752518057	146.73197749865525	140.76280818698925	134.7734710147542	128.7734710147541	122.77347101475404	116.77347101475418	110.77347101475411	104.77347101475404	98.77347101475412	92.77346969679077	86.8692327699162	81.34640905874656	76.57965315067915	72.80238470369248	69.9765071369978	67.85195520300243	66.12088631037834	64.53916485689878	62.96482270487041	61.33675974416988	59.636909917251344	57.861645046710805	56.00769030456024	54.06938504113229	52.04285258744474	49.93418502120349	47.764676475604276	45.572373106273425	43.40860035825563	41.33119146033578	39.39690025296134	37.654982200926156	36.14299225053368	34.88497352710601	33.89165030917241	33.16198994199139	32.68550114540957	32.444760512223745	32.417818929892	32.58029302849214	
25	189.53504015791432	188.3350401579143	186.76580938868352	184.7181387494636	182.07872947830276	178.7574351812424	174.72314084441305	170.02906552711582	164.80495876049287	159.2148880022674	153.40765898494087	147.48880895841523	141.5196396467496	135.53030247451414	129.53030247451414	123.53030247451412	117.53030247451416	111.53030247451423	105.5303024745142	99.53030247451423	93.53030247451422	87.62644516726243	82.10660132224463	77.35150691720303	73.6040416464672	70.83302972671721	68.78507399079153	67.13821735246653	65.6325448599315	64.11943478834439	62.54414678458643	60.90328859631047	59.206987771385016	57.45674372728382	55.639729951464474	53.735559950528504	51.730246411010754	49.627310136543095	47.453244935879376	45.25539665317043	43.0944174398003	41.034686459798074	39.13557432682612	37.445238312010616	35.99745220190309	34.811116704879744	33.89165030917238	33.233415699551756	32.82248924944879	32.639310733882866	32.66097224038837	
24	190.4134042284768	189.213404194381	187.64417335594183	185.59650260201556	182.95709315987642	179.635798626993	175.6015039865367	170.9074283028701	165.68332111947336	160.09324990967266	154.2860204201194	148.36716991075275	142.39800011146068	136.40866244968134	130.40866195918633	124.40866146862815	118.40866097806997	112.40866048751184	106.40865999695357	100.40865950639541	94.4086590158372	88.50482070702583	82.98556590494125	78.23449063947467	74.50167234721786	71.76526228179306	69.77498941278513	68.19948423636615	66.76150314973961	65.29982752693395	63.76143497523398	62.15798002353803	60.518172344578176	58.85471612434438	57.15309310149161	55.37956412495586	53.50049478369002	51.49954747307233	49.38772442777884	47.203543239049516	45.00567553677423	42.86210427327415	40.839479929371606	38.99500969101156	37.37180262836356	35.99745220190308	34.88497352710596	34.035092798290236	33.43903708825722	33.081257255024816	32.941797028683816	
23	191.40463939618638	190.20463918726327	188.63540806480543	186.58773688537343	183.94832684273544	180.62703150770218	176.592735854243	171.89865896245826	166.67455041419987	161.0844777313118	155.27724670445212	149.35839462476946	143.38922324028073	137.39988398734044	131.39988190267363	125.39987981780125	119.39987773292891	113.39987564805666	107.3998735631844	101.399871478312	95.39986939343973	89.49602359392809	83.9768088614477	79.22671652699813	75.49991666947213	72.78325632360303	70.83420807241829	69.3183708899337	67.94282926690826	66.52911353617536	65.01942985990013	63.437187110306986	61.83122183920974	60.230565993741486	58.62550449511796	56.97476429775574	55.22869247792429	53.351769886256506	51.3373244965542	49.210797487581026	47.023699139838314	44.84256862319381	42.737196410924255	40.77101150972483	38.99500969101159	37.4452383120106	36.14299225053364	35.09665063973767	34.30419961493889	33.75579904106898	33.43606792441098	
22	192.4907054061947	191.29070465678566	189.7214726674991	187.6738001983717	185.034388343033	181.71309059261813	177.67879189359607	172.98471137310426	167.76059872767274	162.17052162415652	156.36328598473412	150.4444291938332	144.47525305365173	138.4859090271932	132.48590215999482	126.48589529218016	120.48588842436551	114.48588155655088	108.48587468873632	102.48586782092173	96.48586095310715	90.5819923296445	85.06269481220777	80.31258168964811	76.58755498626194	73.88095342317769	71.96016916586338	70.49427854101684	69.17927332885995	67.81720846399503	66.33822001581335	64.77048171617706	63.18037924986782	61.61604958873898	60.079186860974744	58.52880820780078	56.905779163760144	55.15900471338574	53.26429018260631	51.23115431926464	49.09917709114488	46.92799787734141	44.785457924888306	42.737196410924234	40.83947992937159	39.135574326826124	37.65498220092616	36.414517498644564	35.4202456668347	34.66962325479101	34.15349227688993	
21	193.64888383726347	192.44888154950542	190.87964712842825	188.83197106981092	186.19255419312998	182.87124977138956	178.83694267576868	174.1428521621813	168.91872824111678	163.3286389764304	157.5213906503719	151.60252090274122	145.63333168407058	139.64397453032228	133.64395451111028	127.64393449020423	121.64391446929834	115.64389444839223	109.6438744274863	103.64385440658032	97.6438343856743	91.7399031295772	86.22037665318432	81.46977730575547	77.74452894027588	75.04205738199838	73.13965358033442	71.71526703750966	70.46064557485568	69.15953470617474	67.72336173063549	66.17509539808417	64.59169185592727	63.039895590463104	61.53832793463802	60.05498136765077	58.52988928525823	56.90265773208176	55.13435894102672	53.21786891431895	51.17737591676121	49.0605940108673	46.92799787734145	44.84256862319381	42.862104273274184	41.03468645979804	39.39690025296138	37.9739276870551	36.78062729298605	35.82297424444932	35.09952801375213	
