[-1, 1]	[7, 0]	
[-1, 2]	[7, 0]	
[-1, 3]	[7, 0]	
[-1, 4]	[7, 0]	
[-1, 5]	[7, 0]	
[-1, 6]	[7, 0]	
[-1, 7]	[7, 0]	
[-1, 8]	[7, 0]	
[-1, 9]	[7, 0]	
[-1, 10]	[7, 0]	
[0, -10]	[0, 16]	
[0, -9]	[0, 15]	
[0, -8]	[0, 14]	
[0, -7]	[0, 13]	
[0, -6]	[0, 12]	
[0, -5]	[0, 11]	
[0, -4]	[0, 10]	
[0, -3]	[0, 9]	
[0, -2]	[0, 8]	
[0, -1]	[0, 7]	
[0, 0]	[0, 0]	
[0, 1]	[0, 0]	
[0, 2]	[0, 0]	
[0, 3]	[0, 0]	
[0, 4]	[0, 0]	
[0, 5]	[0, 0]	
[0, 6]	[0, 0]	
[0, 7]	[0, 0]	
[0, 8]	[0, 0]	
[0, 9]	[0, 0]	
[0, 10]	[0, 0]	
[1, -10]	[0, 16]	
[1, -9]	[0, 15]	
[1, -8]	[0, 14]	
[1, -7]	[0, 13]	
[1, -6]	[0, 12]	
[1, -5]	[0, 11]	
[1, -4]	[0, 10]	
[1, -3]	[0, 9]	
[1, -2]	[0, 8]	
[1, -1]	[0, 7]	
[1, 0]	[0, 0]	
[1, 1]	[0, 0]	
[1, 2]	[0, 0]	
[1, 3]	[0, 0]	
[1, 4]	[0, 0]	
[1, 5]	[0, 0]	
[1, 6]	[0, 0]	
[1, 7]	[0, 0]	
[1, 8]	[0, 0]	
[1, 9]	[0, 0]	
[1, 10]	[0, 0]	
[2, -10]	[0, 16]	
[2, -9]	[0, 15]	
[2, -8]	[0, 14]	
[2, -7]	[0, 13]	
[2, -6]	[0, 12]	
[2, -5]	[0, 11]	
[2, -4]	[0, 10]	
[2, -3]	[0, 9]	
[2, -2]	[0, 8]	
[2, -1]	[0, 7]	
[2, 0]	[0, 0]	
[2, 1]	[0, 0]	
[2, 2]	[0, 0]	
[2, 3]	[0, 0]	
[2, 4]	[0, 0]	
