	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
4	0|0|45	0|0|44	0|0|43	0|0|42	0|0|41	0|0|40	0|0|39	0|0|38	0|0|37	0|0|36	0|0|35	0|0|34	0|0|33	0|0|32	0|0|31	0|0|30	0|0|29	0|0|28	0|0|27	0|0|26	0|0|25	0|0|24	0|0|23	0|0|22	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	
3	0|22|45	0|22|44	0|22|43	0|22|42	0|22|41	0|22|40	0|22|39	0|22|38	0|22|37	0|22|36	0|22|35	0|22|34	0|22|33	0|22|32	0|22|31	0|22|30	0|22|29	0|22|28	0|22|27	0|22|26	0|22|25	0|22|24	0|22|23	0|22|22	0|22|0	0|22|0	0|22|0	0|22|0	0|22|0	0|22|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|24|0	0|24|0	0|23|0	0|23|0	0|22|0	0|22|0	0|22|0	0|21|0	0|21|0	-4|20|0	
2	0|23|45	0|23|44	0|23|43	0|23|42	0|23|41	0|23|40	0|23|39	0|23|38	0|23|37	0|23|36	0|23|35	0|23|34	0|23|33	0|23|32	0|23|31	0|23|30	0|23|29	0|23|28	0|23|27	0|23|26	0|23|25	0|23|24	0|23|23	0|23|22	0|23|0	0|23|0	0|23|0	0|23|0	0|23|0	0|23|0	0|23|0	0|24|0	0|25|0	0|28|0	0|28|0	0|28|0	0|28|0	0|28|0	0|28|0	0|27|0	0|26|0	0|25|0	0|25|0	0|24|0	0|24|0	0|23|0	0|23|0	0|23|0	0|22|0	0|22|0	-5|21|0	
1	0|24|45	0|24|44	0|24|43	0|24|42	0|24|41	0|24|40	0|24|39	0|24|38	0|24|37	0|24|36	0|24|35	0|24|34	0|24|33	0|24|32	0|24|31	0|24|30	0|24|29	0|24|28	0|24|27	0|24|26	0|24|25	0|24|24	0|24|23	0|24|22	0|24|0	0|24|0	0|24|0	0|24|0	0|24|0	0|24|0	0|24|0	0|25|0	0|26|0	0|29|0	0|29|0	0|29|0	0|29|0	0|29|0	0|29|0	0|28|0	0|27|0	0|26|0	0|26|0	0|25|0	0|25|0	0|24|0	0|24|0	0|24|0	0|23|0	0|23|0	0|22|0	
0	0|25|45	0|25|44	0|25|43	0|25|42	0|25|41	0|25|40	0|25|39	0|25|38	0|25|37	0|25|36	0|25|35	0|25|34	0|25|33	0|25|32	0|25|31	0|25|30	0|25|29	0|25|28	0|25|27	0|25|26	0|25|25	0|25|24	0|25|23	0|25|22	0|25|0	0|25|0	0|25|0	0|25|0	0|25|0	0|25|0	0|25|0	0|26|0	0|27|0	0|30|0	0|30|0	0|30|0	0|30|0	0|30|0	0|30|0	0|29|0	0|28|0	0|27|0	0|27|0	0|26|0	0|26|0	0|25|0	0|25|0	0|25|0	0|24|0	0|24|0	0|23|0	
-1	0|26|45	0|26|44	0|26|43	0|26|42	0|26|41	0|26|40	0|26|39	0|26|38	0|26|37	0|26|36	0|26|35	0|26|34	0|26|33	0|26|32	0|26|31	0|26|30	0|26|29	0|26|28	0|26|27	0|26|26	0|26|25	0|26|24	0|26|23	0|26|22	0|26|0	0|26|0	0|26|0	0|26|0	0|26|0	0|26|0	0|26|0	0|27|0	0|28|0	0|31|0	0|31|0	0|31|0	0|31|0	0|31|0	0|31|0	0|30|0	0|29|0	0|28|0	0|28|0	0|27|0	0|27|0	0|26|0	0|26|0	0|26|0	0|25|0	0|25|0	0|24|0	
-2	0|27|45	0|27|44	0|27|43	0|27|42	0|27|41	0|27|40	0|27|39	0|27|38	0|27|37	0|27|36	0|27|35	0|27|34	0|27|33	0|27|32	0|27|31	0|27|30	0|27|29	0|27|28	0|27|27	0|27|26	0|27|25	0|27|24	0|27|23	0|27|22	0|27|0	0|27|0	0|27|0	0|27|0	0|27|0	0|27|0	0|27|0	0|28|0	0|29|0	0|32|0	0|32|0	0|32|0	0|32|0	0|32|0	0|32|0	0|31|0	0|30|0	0|29|0	0|29|0	0|28|0	0|28|0	0|27|0	0|27|0	0|27|0	0|26|0	0|26|0	0|25|0	
-3	0|28|45	0|28|44	0|28|43	0|28|42	0|28|41	0|28|40	0|28|39	0|28|38	0|28|37	0|28|36	0|28|35	0|28|34	0|28|33	0|28|32	0|28|31	0|28|30	0|28|29	0|28|28	0|28|27	0|28|26	0|28|25	0|28|24	0|28|23	0|28|22	0|28|0	0|28|0	0|28|0	0|28|0	0|28|0	0|28|0	0|28|0	0|29|0	0|30|0	0|33|0	0|33|0	0|33|0	0|33|0	0|33|0	0|33|0	0|32|0	0|31|0	0|30|0	0|30|0	0|29|0	0|29|0	0|28|0	0|28|0	0|28|0	0|27|0	0|27|0	0|26|0	
-4	0|29|45	0|29|44	0|29|43	0|29|42	0|29|41	0|29|40	0|29|39	0|29|38	0|29|37	0|29|36	0|29|35	0|29|34	0|29|33	0|29|32	0|29|31	0|29|30	0|29|29	0|29|28	0|29|27	0|29|26	0|29|25	0|29|24	0|29|23	0|29|22	0|29|0	0|29|0	0|29|0	0|29|0	0|29|0	0|29|0	0|29|0	0|30|0	0|31|0	0|34|0	0|34|0	0|34|0	0|34|0	0|34|0	0|34|0	0|33|0	0|32|0	0|31|0	0|31|0	0|30|0	0|30|0	0|29|0	0|29|0	0|29|0	0|28|0	0|28|0	0|27|0	
-5	0|30|45	0|30|44	0|30|43	0|30|42	0|30|41	0|30|40	0|30|39	0|30|38	0|30|37	0|30|36	0|30|35	0|30|34	0|30|33	0|30|32	0|30|31	0|30|30	0|30|29	0|30|28	0|30|27	0|30|26	0|30|25	0|30|24	0|30|23	0|30|22	0|30|0	0|30|0	0|30|0	0|30|0	0|30|0	0|30|0	0|30|0	0|31|0	0|32|0	0|35|0	0|35|0	0|35|0	0|35|0	0|35|0	0|35|0	0|34|0	0|33|0	0|32|0	0|32|0	0|31|0	0|31|0	0|30|0	0|30|0	0|30|0	0|29|0	0|29|0	0|28|0	
