approximated up-to levels: 
	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
20	46.03675999999936	46.02938666666611	46.034826666666106	46.023293333332674	46.03181333333278	46.02054666666609	46.00913333333281	46.022266666666155	46.03314666666604	46.0158799999995	46.0263066666661	46.032493333332724	46.028213333332786	46.02847999999945	46.017386666666084	46.023719999999386	46.03321333333275	46.0290799999994	46.02155999999951	46.03229333333272	46.01663999999943	46.03409333333272	46.024626666666165	46.02233333333278	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	
19	45.019733333332766	45.01447999999945	45.020213333332805	45.023119999999466	45.041666666666	45.034053333332736	45.01634666666615	45.02159999999941	45.024226666666124	45.01397333333274	45.01857333333278	45.03290666666602	45.01455999999945	45.01530666666622	45.029506666666194	45.02543999999942	45.033706666666106	45.02903999999944	45.0237866666661	45.02202666666612	45.031013333332766	45.01453333333282	45.01961333333276	45.023746666666085	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	
18	44.033786666666074	44.0311599999994	44.01659999999944	44.01654666666613	44.024039999999474	44.01977333333279	44.01726666666616	44.01921333333274	44.01745333333281	44.020239999999475	44.03361333333274	44.02401333333282	44.03341333333269	44.033866666666086	44.01914666666606	44.019546666666116	44.01621333333287	44.02777333333282	44.024493333332714	44.027239999999466	44.019866666666104	44.01114666666618	44.02329333333279	44.02661333333279	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	
17	43.039039999999346	43.02829333333274	43.02951999999942	43.03177333333272	43.01731999999953	43.02599999999943	43.01570666666616	43.032733333332786	43.009226666666166	43.008839999999495	43.01987999999942	43.02261333333274	43.02438666666613	43.02011999999952	43.02525333333281	43.018306666666106	43.02658666666612	43.01347999999945	43.01973333333285	43.020826666666096	43.019813333332806	43.03643999999938	43.02453333333277	43.02010666666609	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	
16	42.0323066666661	42.01601333333289	42.0124533333329	42.01361333333283	42.02670666666606	42.01698666666604	42.02814666666612	42.03375999999945	42.025759999999494	42.027546666666126	42.0414399999994	42.034759999999395	42.02173333333276	42.03639999999943	42.014213333332805	42.02961333333275	42.03574666666606	42.02646666666617	42.02595999999946	42.04279999999938	42.03853333333275	42.01705333333281	42.02519999999935	42.024893333332756	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	
15	41.02298666666616	41.02641333333281	41.02354666666609	41.029293333332745	41.02283999999949	41.03398666666604	41.01877333333279	41.010053333332834	41.02635999999947	41.011759999999526	41.02534666666611	41.022026666666136	41.014706666666115	41.03957333333277	41.02161333333284	41.020213333332805	41.02003999999944	41.01958666666613	41.030479999999386	41.0195066666661	41.03446666666606	41.041026666666056	41.02661333333278	41.00789333333279	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	
14	40.02765333333279	40.031373333332766	40.023893333332666	40.011973333332804	40.02423999999945	40.03422666666613	40.03498666666604	40.03398666666604	40.02719999999945	40.02098666666612	40.01922666666606	40.031359999999424	40.0349866666661	40.024453333332744	40.02425333333284	40.03763999999936	40.028373333332766	40.0309866666661	40.03587999999938	40.02027999999949	40.0147333333328	40.01410666666613	40.02918666666607	40.02119999999946	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	
13	39.013706666666195	39.026733333332714	39.029773333332685	39.022293333332755	39.0048666666662	39.02237333333281	39.0267466666661	39.02806666666608	39.03069333333271	39.02583999999942	39.01381333333279	39.01594666666608	39.03087999999943	39.01782666666611	39.039866666666086	39.02098666666615	39.03434666666604	39.032226666666034	39.02115999999941	39.0418933333327	39.023759999999406	39.03646666666597	39.022573333332815	39.02834666666611	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	
12	38.024693333332834	38.02618666666615	38.0353333333327	38.02223999999947	38.027613333332795	38.02082666666608	38.03247999999945	38.02705333333273	38.016426666666206	38.02170666666612	38.02314666666608	38.027999999999395	38.02101333333283	38.0173199999995	38.03226666666609	38.02025333333284	38.02985333333284	38.02598666666604	38.01718666666616	38.04006666666608	38.02522666666603	38.00961333333285	38.019813333332706	38.03366666666612	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	
11	37.02643999999937	37.01187999999945	37.03109333333266	37.02451999999941	37.03381333333279	37.0249066666662	37.02755999999938	37.03450666666613	37.028946666666144	37.02195999999944	37.03306666666606	37.03363999999942	37.02053333333281	37.031079999999434	37.03050666666607	37.0147733333328	37.01989333333273	37.03191999999942	37.029199999999435	37.034799999999436	37.03121333333278	37.01741333333281	37.02994666666608	37.03890666666603	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	
10	36.03221333333272	36.01965333333281	36.03094666666618	36.031426666666036	36.01513333333287	36.01939999999951	36.01995999999947	36.02537333333274	36.01743999999947	36.02117333333271	36.03382666666613	36.039986666666096	36.02374666666611	36.02487999999949	36.03035999999938	36.01803999999948	36.02334666666615	36.01743999999945	36.03494666666606	36.020519999999436	36.01979999999941	36.02915999999941	36.02726666666621	36.02287999999941	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	
