Expected total cost with zero initial inventory (Gn): 
	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	
60	175.20620398798786	173.67255182326818	171.67498980961145	169.0831783195256	165.76840749224732	161.64053655836693	156.69383495476526	151.03544872290576	144.868250332526	138.42994822460227	131.92661991668064	125.49799189379155	119.21913443994536	113.11986538574288	107.20046184599043	101.45901193728238	95.87927809546028	90.44417506864393	85.13648037818562	79.93931377505363	74.83644439161422	69.90870861458582	65.43045002708494	61.77363186222568	59.18365446905942	57.651203820422595	56.96347398168732	56.84077928780842	57.04381967772893	57.41255704267563	57.85641408957805	58.32567442171267	58.78994361397578	59.23292753665757	59.65235259139394	60.05283891869247	60.43503576289796	60.78763109914227	61.08938975053611	61.31803828184539	61.46042489350816	61.51923224006315	61.51421464753891	61.478494859747585	61.4519712667683	61.47419583190149	61.57851338855982	61.788484009087504	62.116600565782385	62.56495253032965	63.12718548865122	63.79108346580263	64.54120447029123	65.36116672192195	66.23536493605384	67.1500576033812	68.09388546557308	69.05795040973724	70.0356058069783	71.02209619104721	72.01415193515265	73.00960737088863	74.00707798827416	75.0057082425618	76.00498654929696	77.00461663893655	78.00443223390984	79.00434285491929	80.00430075448759	81.00428149384169	82.00427294180935	83.00426925975744	84.0042677242429	85.00426710483337	86.00426686353771	87.00426677294433	88.00426674024445	89.00426672893153	90.00426672519434	91.00426672402116	92.0042667236734	
59	177.146906358964	175.60876588476881	173.59907769138866	170.98275501495357	167.6248219822637	163.42812421843652	158.38098537710962	152.5880499874205	146.25467611935633	139.62554017432663	132.91595877817386	126.27480397839076	119.78482408641959	113.4817046534029	107.36986538574294	101.45046184599052	95.70901193728237	90.12927809546022	84.69417506864393	79.38648037818562	74.18931377505356	69.18260883585974	64.63953083581328	60.93058780227641	58.299523709369055	56.73530038815477	56.02345299707953	55.88279199671867	56.07270806762503	56.43205383993825	56.869332649010644	57.33408369706165	57.79532626652709	58.23631883371643	58.65445766393328	59.05412719423055	59.43581342807918	59.788094259209295	60.089661946358575	60.318196145477096	60.46051525347064	60.5192832925655	60.51424312255659	60.47851054038898	60.45197979245702	60.47420040838126	60.57851581337253	60.788485276760234	61.116601219362785	61.56495286245746	62.12718565491386	62.79108354776918	63.541204510098964	64.36116674100066	65.23536494512258	66.15005760770748	67.09388546769756	68.05795041086094	69.03560580765709	70.02209619153267	71.01415193555619	72.0096073712585	73.00707798863041	74.0057082429127	75.00498654964589	76.00461663928462	77.00443223425776	78.00434285526707	79.00430075483538	80.00428149418941	81.00427294215696	82.00426926010518	83.0042677245906	84.00426710518107	85.00426686388538	86.00426677329202	87.00426674059219	88.00426672927934	89.00426672554211	90.00426672436899	91.0042667240212	
58	179.01333340394106	177.49004799494568	175.49234589656712	172.88085491394747	169.51409975716314	165.28653187647015	160.1778100543584	154.2864498283307	147.8168239823856	141.01836902105327	134.11511121795255	127.26583237483355	120.56233536382574	114.04765106995977	107.73170465340283	101.6198653857429	95.70046184599045	89.95901193728236	84.37927809546022	78.94417506864394	73.63648037818568	68.53547821929905	63.91343105708724	60.1396686110047	57.456479649419876	55.85116962846445	55.10754956481169	54.942771012110846	55.114720776535336	55.46094222983439	55.88882938920919	56.34700202828615	56.80373508584371	57.2417008799822	57.65784836029407	58.056231799766294	58.43710141882407	58.78887180518311	59.090125108200695	59.31846841794311	59.46067323115554	59.51937377652555	59.51429429058132	59.47853911200666	59.45199554715101	59.47420898628501	59.57852042408083	59.78848772251745	60.11660249905856	60.56495352257281	61.12718599047818	61.79108371587087	62.54120459316567	63.361166781617115	64.23536496492734	65.15005761750305	66.09388547277597	67.05795041376338	68.03560580957794	69.02209619302131	70.01415193685898	71.00960737248336	72.00707798982369	73.00570824409348	74.00498655082171	75.00461664045875	76.00443223543118	77.00434285644032	78.00430075600845	79.00428149536259	80.00427294333018	81.00426926127834	82.00426772576381	83.00426710635426	84.00426686505855	85.00426677446521	86.00426674176533	87.00426673045256	88.00426672671526	89.00426672554218	90.00426672519437	
57	180.71529131600593	179.22489973359293	177.26327465405964	174.6878987616662	171.35126233982982	167.13852047183178	162.01788767350493	156.0773217163431	149.5153320600275	142.58238190444007	135.50958078230187	128.46595336878295	121.55381995518276	114.82534483634389	108.29765106995968	101.98170465340287	95.86986538574291	89.95046184599053	84.20901193728241	78.62927809546025	73.19417506864386	67.98264482243114	63.26630044052655	59.41356883227871	56.66556045814813	55.008125568515226	54.22341880512135	54.02686757984308	54.17469979192753	54.5029549387447	54.91771732556914	55.36649695443569	55.816649789735834	56.25010486636122	56.66322558476258	57.059618665703844	57.43920352361465	57.79015845358334	58.09090210507525	58.31893148643771	58.4609456317236	58.519531964197775	58.51438499107976	58.47859046686792	58.45202426427721	58.474224843092934	58.57852906852894	58.788492373670174	59.11660496789516	59.56495481481602	60.127186657327805	60.79108405528562	61.54120476387891	62.361166866886336	63.23536500770222	64.15005763954886	65.09388548491513	66.05795042126897	67.03560581496518	68.0220961974628	69.01415194088902	70.00960737633886	71.00707799360718	72.00570824784815	73.00498655456552	74.00461664419828	75.0044322391692	76.00434286017783	77.00430075974579	78.00428149909983	79.00427294706743	80.00426926501552	81.00426772950108	82.0042671100915	83.00426686879574	84.00426677820249	85.0042667455026	86.00426673418971	87.00426673045249	88.00426672927931	89.00426672893154	
56	182.20094249376496	180.75381225821312	178.844772201391	176.33025170857465	173.05845603765806	168.90570877793817	163.8269552716554	157.89515945093888	151.29691911626222	144.27805054060943	137.07317775710607	129.86059857627237	122.75412417041481	115.8169269779023	109.07534483634393	102.54765106995967	96.23170465340284	90.11986538574287	84.2004618459906	78.45901193728236	72.87927809546028	67.5403395128894	62.71346704365864	58.766438215717976	55.93946067942214	54.21720637724349	53.380374745172126	53.14273682015266	53.258796359659684	53.562933954136874	53.95972833504073	54.39537809322277	54.83613112219101	55.26300145197041	55.67161147395869	56.06498146356006	56.44258087180785	56.79225528339538	57.0921863463627	57.319707697428896	57.46140869695197	57.51980467001442	57.51454355435165	57.478681506540504	57.45207588903299	57.47425374835006	57.57854504692018	57.788501091339064	58.11660966054337	58.5649573063261	59.12718796223096	59.79108473015473	60.54120510960368	61.361167043603025	62.2353650992191	63.15005768894708	64.0938855139186	65.05795044061071	66.03560582983417	67.02209621031075	68.0141519528465	69.00960738791483	70.00707800502406	71.00570825920084	72.00498656589296	73.00461665551633	74.0044322504838	75.00434287149123	76.00430077105885	77.0042815104129	78.00427295838023	79.0042692763285	80.00426774081384	81.00426712140435	82.00426688010867	83.00426678951526	84.00426675681545	85.0042667455026	86.00426674176529	87.00426674059224	88.0042667402444	
55	183.48040175766667	182.07450990488633	180.22017502710753	177.77561932534627	174.58806531605964	170.52775471909064	165.53700003780557	159.67099468593798	153.0983793464321	146.05293937621386	138.7666373416904	131.42364821661002	124.14869546447045	117.01724681861616	110.06692697790228	103.32534483634389	96.79765106995967	90.48170465340284	84.36986538574297	78.45046184599056	72.70901193728241	67.22544253970571	62.27116173411689	58.21360481885009	55.29233006286145	53.491106598517504	52.58945555390041	52.29969276020341	52.37466559996934	52.647030521869034	53.019702649551704	53.437370299494276	53.86497465717439	54.28243265789861	54.684457970741704	55.0733273729765	55.447917194782335	55.795617794614515	56.0942761671245	56.32098932703104	56.46218441315214	56.520268094811314	56.51481685960897	56.478840643132706	56.452167396085905	56.47430569560035	56.57857415801922	56.78851719206514	57.116618447003226	57.564962037161656	58.127190476708854	58.791086051932055	59.541205799993534	60.36116740554863	61.23536529346477	62.150057799246575	63.093885583070026	64.05795049003493	65.0356058700194	66.02209624627424	67.0141519869306	68.00960742118451	69.00707803795137	70.00570829198841	71.00498659862542	72.0046166882278	73.00443228318757	74.00434290419233	75.00430080375914	76.00428154311274	77.00427299108021	78.00426930902819	79.0042677735137	80.00426715410418	81.0042669128085	82.00426682221509	83.00426678951521	84.00426677820248	85.00426677446515	86.00426677329187	87.00426677294432	
54	184.61452322055734	183.23769892797935	181.4260565606839	179.04227562133843	175.93673509861574	171.9786354743422	167.10187954123035	161.3449008735883	154.85469361111916	147.8454975253466	140.53812527314736	133.11603034818208	125.71146986675879	118.41176669896996	111.2672468186161	104.31692697790228	97.57534483634386	91.04765106995971	84.73170465340279	78.61986538574295	72.70046184599053	67.05517638152787	61.956264760933195	57.77129950930834	54.73949666599349	52.843975981956795	51.863355775174384	51.508773568931744	51.53162154002011	51.76289976217868	52.10378843100973	52.497301469449475	52.90688057866379	53.311161166305695	53.70377421288022	54.086082050538224	54.4562021873949	54.800919790862785	55.09762219117353	55.32307264848725	55.463464343323075	55.52104407062835	55.51528114443782	55.479114833117464	55.45232727277769	55.47439770480995	55.57862641924396	55.78854648585401	56.116634649628246	56.564970882601074	57.12719524826617	57.791088602802	58.54120716040432	59.3611681390303	60.235365702978044	61.15005804468036	62.09388574715473	63.05795061468566	64.03560597600315	65.02209634364006	66.01415208042127	67.00960751298105	68.00707812902854	69.00570838276981	70.00498668928927	71.00461677884643	72.00443237378971	73.00434299478856	74.0043008943534	75.00428163370627	76.00427308167367	77.00426939962163	78.004267864107	79.00426724469749	80.0042670034018	81.00426691280842	82.00426688010866	83.00426686879575	84.00426686505853	85.00426686388536	86.00426686353772	
53	185.6673048669139	184.30674853764265	182.52130258270822	180.17915438884387	177.1369449015173	173.26840373056314	168.50611802102333	162.877646777795	156.50970515405783	149.59242689485362	142.32675702233598	134.88613383573718	127.403441574397	119.97444042691602	112.66176669896993	105.51724681861612	98.56692697790241	91.82534483634386	85.29765106995963	78.98170465340284	72.86986538574297	67.04662629023606	61.785998602755356	57.45640253612468	54.297191356451734	52.291142585088835	51.21622515861368	50.782673790205685	50.740702348748385	50.91985570222947	51.21963636332277	51.5813020197354	51.96664129284608	52.35283984350961	52.73227557226458	53.10521680327684	53.468836318768794	53.80913662581465	54.10289111985932	54.32640520637612	54.46554360405112	54.52232380144422	54.51605816196883	54.47958030806524	54.452602486929365	54.474558253891814	54.57871883177437	54.78859897208582	55.11666406822208	55.56498716634278	56.12720416595888	56.791093455478446	57.541209807702295	58.36116961134288	59.23536656122169	60.15005858849299	61.09388613341198	62.057950923780275	63.035606248208296	64.02209659865245	65.01415232763296	66.00960775675223	67.00707837132732	68.00570862445835	69.00498693073317	70.00461702019601	71.00443261510414	72.00434323609052	73.00430113565105	74.00428187500266	75.00427332296954	76.00426964091747	77.00426810540272	78.00426748599327	79.00426724469752	80.00426715410416	81.0042671214043	82.00426711009149	83.00426710635426	84.00426710518099	85.00426710483339	
52	186.65818515405095	185.31000909662356	183.5422479938939	181.2273623331726	178.2284649178403	174.42694296111958	169.7608678241158	164.25594746793914	158.0259674746428	151.2385791439099	144.0696736243869	136.67322887630073	129.17304504380198	121.66627373667151	114.224440426916	106.9117666989699	99.76724681861616	92.81692697790236	86.0753448363439	79.54765106995966	73.23170465340282	67.21602982998843	61.77744851146351	57.2861363779468	53.98229438326809	51.84883727554708	50.66339176174577	50.135543173645	50.014602570022376	50.12893651095775	50.376555022301865	50.69700082879783	51.050343605228214	51.41220294669844	51.77355676353856	52.13340047436124	52.4877598597393	52.82165100008127	53.111049365246835	53.331649641290404	53.46886799809057	53.524401626124536	53.51733869509694	53.480358525096726	53.453069045246096	53.47483411545234	53.5788797203552	53.78869154724268	54.11671664668607	54.56501667826138	55.12722058268313	55.7911025597651	56.54121489941099	57.36117254161353	58.23536834983528	59.15005978650453	60.09388703254275	61.05795167513354	62.0356069282641	63.02209724518688	64.01415295883025	65.00960838113095	66.00707899276514	67.00570924466798	68.00498755044718	69.00461763971701	70.00443323455285	71.00434385551331	72.00430175506476	73.00428249441349	74.00427394237938	75.00427026032702	76.00426872481233	77.00426810540276	78.00426786410699	79.00426777351367	80.0042677408139	81.00426772950104	82.00426772576385	83.00426772459053	84.0042677242429	
51	187.55493612371873	186.22558592978513	184.47996419022053	182.19233278480087	179.22961826809959	175.4796909121675	170.88873529504423	165.48823322265704	159.38961939425127	152.74657738555953	145.7118483895268	138.41451550951203	130.95956876129057	123.43570490195985	115.9162737366715	108.47444042691596	101.16176669896997	94.01724681861607	87.06692697790233	80.32534483634394	73.79765106995966	67.5778690976484	61.9468520512159	57.277586286654945	53.812028225090195	51.53394030236342	50.22108645220405	49.58270977677707	49.3674719534617	49.402836732231705	49.58557699358511	49.853684138837544	50.16557172448871	50.495277710858815	50.832292439233214	51.17418001045304	51.51560963800937	51.84038459927207	52.12346990427459	52.339767477482	52.47409754162795	52.52772167195897	52.519415809053626	52.481639218244055	52.453847562026816	52.475300629671764	52.57915537444538	52.78885222610754	53.11680912395851	53.565069331529834	54.127250358171715	54.79111941483762	55.54122458737844	56.361178328552704	57.23537205558824	58.15006240522648	59.093889096057744	60.05795346168895	61.03560858005471	62.022098833097154	63.01415451728298	64.00960992638758	65.00708053228783	66.00571078177764	67.00498908657497	68.00461917545921	69.00443477014902	70.0043453910562	71.00430329058898	72.00428402993134	73.00427547789512	74.00427179584197	75.00427026032703	76.00426964091741	77.00426939962162	78.00426930902819	79.00426927632843	80.00426926501561	81.00426926127832	82.0042692601052	83.0042692597574	
