C_n approximated by receding horizon - solving sinble problem separately: 
51.0	295.25	284.8	282.2	276.05	274.5	272.15	267.0	259.85	255.9	257.7	249.35	244.55	240.15	238.8	234.2	229.5	222.7	219.25	217.1	214.5	208.9	198.55	196.55	186.2	134.55	133.55	89.75	81.0	59.4	51.0	52.15	55.8	50.6	52.0	52.35	53.95	56.15	56.25	58.9	57.45	59.75	60.05	62.2	62.5	63.25	63.3	65.3	65.4	66.35	67.7	67.0	70.0	70.5	71.2	73.35	73.75	75.45	76.6	76.65	78.75	79.75	78.75	79.45	82.05	83.95	85.0	84.55	87.2	86.9	88.35	87.65	88.45	91.95	92.1	93.35	94.3	94.7	95.8	98.15	98.0	99.25	
50.0	289.3	283.45	278.3	276.8	273.95	267.65	266.8	261.35	254.85	251.45	247.05	242.25	239.6	236.0	230.5	227.95	221.85	219.7	214.05	212.7	203.65	192.15	187.65	183.95	126.45	122.05	83.1	81.8	52.05	49.95	61.35	51.65	50.0	50.95	51.9	52.45	54.75	55.55	56.45	57.85	57.15	59.4	59.8	61.95	61.3	62.35	63.4	66.55	67.15	67.35	69.95	68.8	69.55	70.8	71.55	73.4	73.55	74.4	75.85	77.45	77.4	79.75	79.7	81.45	82.45	83.45	83.6	84.4	86.35	86.8	88.75	89.6	88.95	91.85	92.5	91.9	94.05	94.7	96.55	97.6	97.85	
49.0	287.95	282.1	282.4	276.25	280.25	272.3	263.05	259.55	252.7	253.7	247.95	240.85	240.7	235.1	228.0	225.45	224.45	219.55	220.2	208.65	206.0	194.2	187.85	172.95	125.45	128.4	84.9	85.6	58.05	54.3	54.0	46.75	51.05	49.9	50.75	51.05	51.45	54.9	55.5	56.25	57.7	57.95	59.85	59.45	60.75	60.3	62.85	63.7	66.55	66.75	66.2	67.5	67.9	70.4	71.4	72.55	72.85	74.15	74.9	76.95	76.6	78.4	78.85	80.15	81.2	82.25	82.25	84.7	85.55	86.05	87.3	88.45	89.1	90.7	89.3	93.35	93.05	92.9	95.1	94.45	97.05	
48.0	284.7	281.25	282.45	275.55	268.4	268.05	264.0	258.3	261.85	250.65	247.05	241.65	237.75	236.55	229.35	225.4	223.25	217.15	214.05	217.65	200.5	201.15	188.95	185.5	131.55	128.8	85.25	83.15	66.4	55.25	46.0	48.0	48.8	50.05	51.4	51.75	52.4	53.05	53.35	54.3	55.85	57.65	58.4	57.8	60.85	62.15	61.9	62.85	64.9	65.25	66.05	67.8	67.9	69.65	69.55	71.15	72.65	73.2	74.45	75.5	76.1	76.85	76.9	78.65	81.4	80.95	82.65	83.55	82.95	85.05	84.65	86.1	87.85	88.05	90.6	91.0	90.75	93.4	94.4	94.8	95.55	
47.0	284.35	281.15	276.5	272.0	272.85	268.65	261.85	255.85	251.9	249.8	245.2	241.75	236.55	235.25	227.4	228.0	220.95	216.1	213.7	210.3	208.25	202.85	191.85	178.9	135.1	124.1	90.95	75.25	44.95	52.0	51.3	48.65	47.6	49.15	49.4	49.35	51.45	52.3	53.2	53.05	56.25	56.8	57.2	58.05	58.85	59.9	61.35	63.2	64.0	63.9	66.25	65.9	66.9	67.55	68.6	68.9	71.35	71.9	73.45	74.5	75.9	76.45	75.85	77.8	77.55	79.55	80.45	82.2	83.35	83.55	84.95	85.25	87.7	87.45	88.5	89.75	88.95	92.4	91.65	95.55	95.05	
46.0	283.65	277.4	275.65	275.2	267.1	263.55	258.45	259.45	251.05	249.0	245.25	237.5	234.9	231.35	228.15	221.85	222.25	216.8	211.0	212.8	198.05	200.2	190.1	177.85	124.6	128.8	77.65	73.05	54.5	50.55	44.65	46.95	44.85	46.65	48.8	49.4	50.35	49.9	51.7	54.0	54.25	54.15	55.85	56.65	57.7	57.85	58.1	60.05	62.45	62.8	63.1	64.25	66.35	67.45	67.95	69.3	70.1	71.5	71.05	72.85	74.4	75.4	75.75	76.7	77.0	78.25	79.85	81.7	81.5	82.6	83.95	84.75	87.4	86.8	87.65	88.0	88.75	90.4	91.75	91.85	95.15	
45.0	281.65	277.95	274.4	272.0	270.2	264.25	265.1	257.0	250.65	245.4	242.3	239.75	234.8	232.8	228.7	226.25	218.95	213.45	211.5	207.85	201.9	190.55	188.05	182.35	146.3	124.85	82.1	77.9	51.25	44.25	49.45	45.0	45.3	50.05	46.55	49.55	50.15	49.9	50.95	51.95	53.05	54.05	55.1	56.65	55.5	59.6	59.5	59.35	61.6	61.65	62.75	63.8	64.1	67.15	69.05	66.8	68.5	72.05	69.9	71.9	73.15	73.5	74.75	75.55	75.2	78.7	80.0	80.05	81.95	81.85	83.45	82.8	85.65	86.95	85.65	87.45	89.15	91.9	89.7	91.55	92.95	
44.0	281.6	279.1	271.9	268.95	266.75	260.75	260.5	250.95	250.95	244.1	242.2	236.35	233.05	229.55	224.4	221.3	218.5	216.6	210.15	208.25	203.8	186.85	188.4	180.4	117.0	122.6	84.15	73.15	52.85	44.25	44.95	46.2	45.45	46.9	46.85	46.7	47.75	48.3	49.35	50.85	52.05	50.95	54.65	54.65	57.25	57.65	59.25	58.45	59.0	60.9	61.3	64.25	63.65	64.0	65.9	66.8	67.0	68.6	70.35	69.35	71.7	73.25	72.15	74.8	76.9	77.7	77.75	79.0	78.55	82.05	82.75	82.65	83.5	85.35	86.1	87.35	88.85	89.1	90.65	91.15	92.05	
43.0	281.15	278.65	271.35	271.5	263.2	260.6	258.8	252.15	248.75	247.8	240.95	240.15	233.65	232.05	223.55	220.2	215.65	211.65	208.55	209.2	199.0	198.15	192.1	171.7	126.7	118.3	85.5	73.25	62.8	43.35	41.4	40.3	42.45	42.9	46.1	44.7	46.65	49.0	47.7	49.55	51.95	51.6	51.75	54.0	55.3	55.75	56.5	57.3	59.65	59.75	61.45	62.35	61.75	65.9	64.5	65.65	67.4	68.7	70.35	69.6	71.75	71.1	72.05	74.1	74.55	76.1	76.8	77.7	78.8	79.7	80.55	82.85	83.0	82.8	85.05	86.15	86.85	87.7	89.5	89.6	91.3	
42.0	280.5	277.45	272.25	267.45	262.7	259.0	256.9	251.15	246.2	248.6	240.4	235.8	231.4	227.85	222.6	221.1	215.3	214.15	207.45	203.6	205.9	196.9	188.8	175.05	129.05	118.35	73.25	82.45	46.15	44.55	41.5	41.05	42.05	43.8	44.25	45.1	44.5	47.05	47.9	48.55	49.1	50.55	51.4	51.95	54.15	54.5	56.05	56.4	55.9	60.15	59.45	60.5	63.85	63.35	64.45	64.2	66.75	66.1	68.55	68.25	70.25	69.8	72.15	73.3	74.8	75.25	75.55	77.55	78.65	78.75	79.4	81.35	82.75	82.25	83.4	85.65	85.7	88.2	88.2	87.75	92.1	
