Expected total cost (Cn_1): 
	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
30	99.43448021170072	98.4344802117007	97.4344802117007	96.43448021170074	95.43448021170074	94.43448021170074	93.43448021170073	92.43448021170073	91.43448021170074	90.43448021170074	89.43448021170074	88.43448021170076	87.43448021170076	86.43448021170076	85.43448021170076	84.43448021170076	83.43448021170074	82.43448021170074	81.43448021170074	80.43448021170076	79.43448021170076	78.43448021170074	77.20607172887273	75.84373754257146	73.79259429823587	71.00690232268299	68.97485812689574	67.3486959657181	65.77474372703759	64.00148386537516	61.945540076969834	59.67124666680468	57.3075720528789	54.967375315704885	52.71020081877183	50.5464225954749	48.46155690169116	46.43892291563707	44.47444648920213	42.58200126564155	40.791555836001024	39.143010389505804	37.67830083923709	36.43448021170074	35.438550151318466	34.70481712555722	34.234551319290674	34.017359902789295	34.033608853236046	34.25731592981042	34.65906979646479	
29	99.47332366464381	98.47332366464384	97.47332366464386	96.47332366464384	95.47332366464383	94.47332366464384	93.47332366464384	92.47332366464384	91.47332366464384	90.47332366464383	89.47332366464384	88.47332366464384	87.47332366464383	86.47332366464383	85.47332366464383	84.47332366464381	83.47332366464383	82.47332366464383	81.47332366464383	80.47332366464383	79.47332366464384	78.47332366464384	77.47332366464384	76.47332366464386	73.78769191057907	71.060790592585	69.1170139637299	67.61083755892402	66.1820569069183	64.56774369349712	62.674521672293004	60.55901209457559	58.34128475545556	56.12189182829189	53.94623913732546	51.81266667467928	49.7005258976059	47.59472940273806	45.5001340750178	43.44458765933463	41.47392502478096	39.64283467948138	38.00488620396399	36.60478304161007	35.473323664643836	34.62552317719074	34.06127395205482	33.767668633704915	33.722168387293216	33.895993990977026	34.25731592981043	
28	99.72613563771222	98.72613563771222	97.72613563771222	96.72613563771223	95.72613563771223	94.72613563771223	93.72613563771223	92.72613563771222	91.72613563771222	90.7261356377122	89.7261356377122	88.7261356377122	87.7261356377122	86.72613563771222	85.72613563771222	84.7261356377122	83.72613563771223	82.72613563771223	81.72613563771223	80.72613563771223	79.72613563771222	78.72613563771222	77.72613563771222	76.72613563771219	73.90968281252542	71.20547617748937	69.3035926670154	67.86626329868659	66.53705428144328	65.05112085585151	63.308748434956236	61.356971648308615	59.303034402220014	57.23169555443213	55.17145871533208	53.10594520033522	51.0054383625733	48.85361791634094	46.66200037608045	44.470985981878165	42.34170173992042	40.343710932547864	38.54271627948005	36.991751054959785	35.726135637712176	34.762298193769524	34.099416960450846	33.72269603670484	33.607285578781706	33.722168387293195	34.03360885323602	
27	100.14907033257828	99.14907033257828	98.14907033257829	97.14907033257829	96.14907033257829	95.14907033257828	94.14907033257826	93.14907033257826	92.14907033257826	91.14907033257825	90.14907033257823	89.14907033257823	88.14907033257823	87.14907033257823	86.14907033257823	85.14907033257823	84.14907033257823	83.14907033257823	82.14907033257823	81.14907033257822	80.14907033257822	79.14907033257822	78.14907033257823	77.14907033257823	74.23737898861462	71.53849521599294	69.65107580164592	68.24647585702712	66.97718742635028	65.58271439480023	63.96161455513216	62.15382353328657	60.25503637394944	58.33481550031303	56.40444159337552	54.431231666667465	52.37363874833069	50.2107087805144	47.95725195515519	45.66342839340044	43.40369803664192	41.261394257001704	39.313963283982964	37.622882055101606	36.22842920790773	35.14907033257824	34.384000054449245	33.917323740318274	33.72269603670489	33.76766863370487	34.017359902789295	
26	100.8178298557954	99.8178298557954	98.8178298557954	97.8178298557954	96.81782985579541	95.81782985579542	94.81782985579544	93.81782985579544	92.81782985579544	91.81782985579544	90.81782985579544	89.81782985579542	88.81782985579542	87.81782985579542	86.81782985579541	85.81782985579542	84.81782985579542	83.81782985579542	82.81782985579542	81.81782985579542	80.81782985579542	79.81782985579541	78.81782985579542	77.81782985579542	74.81699036781258	72.11863628690796	70.23490603473843	68.84373754257146	67.60623715129798	66.26878271632398	64.73255852845983	63.0352358411127	61.26538312757412	59.480818524655355	57.6776036766293	55.80695927667739	53.81390149016457	51.66981250612192	49.389022793844646	47.02767917264817	44.67038303814933	42.41193575247889	40.34016467824523	38.52442741477258	37.00999788463219	35.81782985579542	34.947860185858445	34.38400005444922	34.099416960450895	34.06127395205484	34.23455131929065	
25	101.79475665728167	100.79475665728167	99.7947566572817	98.79475665728167	97.79475665728167	96.7947566572817	95.79475665728167	94.79475665728167	93.79475665728167	92.79475665728167	91.7947566572817	90.7947566572817	89.7947566572817	88.7947566572817	87.79475665728167	86.79475665728167	85.7947566572817	84.7947566572817	83.7947566572817	82.7947566572817	81.7947566572817	80.7947566572817	79.7947566572817	78.7947566572817	75.6734358671698	72.97508178626518	71.09223124568143	69.70607172887273	68.48346113819309	67.17723071186114	65.69345087290701	64.07152831698414	62.39765122349575	60.72262570297482	59.031259257224015	57.261086695454445	55.343988487805355	53.24183736966194	50.965018770240505	48.57145391500151	46.15181093478838	43.80903815093578	41.639059131052264	39.71783589384487	38.095194251620605	36.79475665728165	35.81782985579545	35.149070332578205	34.762298193769496	34.62552317719072	34.70481712555722	
24	103.00999788463224	102.00999788463224	101.00999788463224	100.00999788463221	99.0099978846322	98.0099978846322	97.00999788463218	96.00999788463218	95.00999788463218	94.00999788463218	93.00999788463218	92.00999788463216	91.00999788463214	90.00999788463214	89.00999788463214	88.00999788463216	87.00999788463214	86.00999788463216	85.00999788463216	84.00999788463217	83.00999788463217	82.00999788463217	81.00999788463217	80.00999788463217	76.81354124844052	74.11518686694899	72.23251011612031	70.84806126442582	69.63203267658355	68.34185247818611	66.88795629240138	65.31273484498844	63.70314963384617	62.107681899702634	60.50510892562286	58.82367179630441	56.98446444275427	54.939591258904215	52.692881829355194	50.299945123043734	47.85303182195635	45.45923130766452	43.21953439054423	41.21456855366723	39.49775049812771	38.09519425162067	37.009997884632206	36.22842920790774	35.72613563771216	35.47332366464379	35.43855015131851	
23	104.52442741477257	103.52442741477257	102.52442741477257	101.5244274147726	100.5244274147726	99.52442741477257	98.5244274147726	97.5244274147726	96.5244274147726	95.52442741477263	94.52442741477263	93.52442741477263	92.52442741477263	91.52442741477263	90.52442741477263	89.52442741477263	88.52442741477263	87.52442741477263	86.52442741477263	85.52442741477263	84.52442741477263	83.52442741477263	82.52442741477263	81.52442741477263	78.22170473918924	75.52334919081906	73.64077432722131	72.25763069749652	71.04649380084311	69.76727370567505	68.33206650438586	66.78458390270059	65.21344701240527	63.668568223723796	62.12830669250604	60.51730442073737	58.749911884895916	56.769812534327194	54.572855259311964	52.20887848333693	49.767339320649064	47.35520093900519	45.075025013184344	43.00963326137347	41.21456855366723	39.71783589384492	38.52442741477255	37.622882055101584	36.99175105495973	36.60478304161004	36.43448021170073	
22	106.31396328398293	105.31396328398293	104.31396328398293	103.31396328398293	102.31396328398293	101.31396328398293	100.31396328398293	99.31396328398293	98.31396328398293	97.31396328398293	96.31396328398293	95.31396328398293	94.31396328398293	93.31396328398293	92.31396328398293	91.31396328398293	90.31396328398293	89.31396328398293	88.31396328398293	87.31396328398296	86.31396328398296	85.31396328398296	84.31396328398296	83.31396328398296	79.85537807478241	77.15701897828339	75.27486049002981	73.8946603260211	72.69200726333638	71.42764283873733	70.01125929416204	68.48372125532897	66.93378505602769	65.41506859954593	63.91077005066724	62.348208246297105	60.640220366288034	58.72485046509742	56.58989410576031	54.27699148357376	51.8690287139085	49.46876097038828	47.17669051206778	45.07502501318438	43.219534390544275	41.63905913105227	40.34016467824521	39.313963283982986	38.542716279480054	38.00488620396399	37.67830083923712	
21	108.26139425700168	107.26139425700168	106.26139425700167	105.26139425700167	104.26139425700167	103.26139425700167	102.26139425700167	101.26139425700167	100.26139425700167	99.26139425700167	98.26139425700167	97.2613942570017	96.2613942570017	95.2613942570017	94.2613942570017	93.2613942570017	92.2613942570017	91.2613942570017	90.2613942570017	89.2613942570017	88.2613942570017	87.2613942570017	86.26139425700168	85.26139425700168	81.6453289115578	78.94695990335288	77.06565914491095	75.69115098766756	74.50428027028144	73.26611796083411	71.87935705128814	70.37576632773187	68.84021079051897	67.33037252270861	65.83860066692925	64.30114435181176	62.63526717388452	60.77735928010922	58.708504504318796	56.461049196064295	54.10855738982744	51.746113753054914	49.46876097038824	47.35520093900518	45.45923130766451	43.80903815093578	42.41193575247885	41.26139425700167	40.34371093254785	39.642834679481375	39.1430103895058	
