[1, -100, 3, -100, 6, -100]
[3, -100, 5, 3, -100, -100]
[2, -100, 2, 4, -100, -100]
[3, -100, -100, 4, -100, -100]
[3, -100, 3, -100, 3, -100]
[1, -100, 3, -100, -100, 3]
[3, 6, -100, 1, -100, -100]
[0, 2, -100, 3, -100, -100]
[2, -100, 2, 5, -100, 4]
[1, -100, 3, 4, -100, -100]
[1, -100, 4, -100, 7, -100]
[4, 5, -100, 3, -100, -100]
[2, -100, -100, 4, -100, -100]
[4, -100, -100, 5, -100, -100]
[3, -100, -100, 3, -100, -100]
[1, -100, 4, -100, -100, 3]
[4, 7, -100, 2, -100, -100]
[0, 3, -100, 4, -100, -100]
[2, -100, -100, 4, -100, 4]
[2, -100, -100, 4, -100, -100]
[1, -100, 4, -100, 7, -100]
[4, 5, -100, 4, -100, -100]
[3, -100, -100, 5, -100, -100]
[4, -100, -100, 5, -100, -100]
[3, -100, 3, -100, 4, -100]
[2, -100, 4, -100, 1, -100]
[4, 8, -100, 2, -100, -100]
[1, -100, -100, 4, -100, -100]
[3, -100, -100, 4, -100, 5]
[2, -100, -100, 5, -100, -100]
[3, -100, 9, -100, 7, -100]
[9, -100, 10, 5, -100, -100]
[4, -100, 6, 6, -100, -100]
[5, -100, -100, 6, -100, -100]
[6, -100, 6, -100, 4, -100]
[3, -100, 8, -100, -100, 3]
[11, 11, -100, 5, -100, -100]
[3, 5, -100, 7, -100, -100]
[4, -100, 6, 6, -100, 4]
[4, -100, 9, 6, -100, -100]
[4, -100, 9, -100, 7, -100]
[10, 11, -100, 5, -100, -100]
[4, -100, -100, 6, -100, -100]
[5, -100, -100, 6, -100, -100]
[7, -100, -100, 7, -100, -100]
[3, -100, 8, -100, -100, 3]
[12, 11, -100, 5, -100, -100]
[4, 6, -100, 8, -100, -100]
[4, -100, -100, 6, -100, 4]
[4, -100, -100, 6, -100, -100]
[4, -100, 10, -100, 8, -100]
[10, 12, -100, 6, -100, -100]
[4, -100, -100, 6, -100, -100]
[5, -100, -100, 6, -100, -100]
[7, -100, 7, -100, 5, -100]
[3, -100, 8, -100, 3, -100]
[12, 11, -100, 5, -100, -100]
[4, -100, -100, 8, -100, -100]
[4, -100, -100, 6, -100, 5]
[4, -100, -100, 7, -100, -100]
