	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
30	253.4230730746627	251.73189660407434	249.4807653823548	246.58147002122743	243.02225785727126	238.89071634575072	234.3451083454921	229.55108648370532	224.6325208072957	219.6609172533748	214.66091725337486	209.66091725337492	204.66091725337486	199.66091725337475	194.66091725337478	189.62223952989106	184.39764852732026	178.75425400882054	172.53504223546275	165.78870153997076	158.7363469994301	151.64029650964787	144.69829404512063	138.01592140515942	131.63256038756754	125.55553652473702	119.7781901799515	114.28178703382795	109.03129372601315	103.97336459237312	99.33806644144283	95.64584840544615	93.2691524938882	92.14402787686937	91.89086404928933	92.08854938715085	92.44341152496285	92.81481822782605	93.17122335596568	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	100.38796308123509	102.32697855954817	104.52382856134783	106.96612533020793	109.63719375502379	112.51739647604116	115.58534207241433	118.81894848209645	122.19633973452045	125.69656239042645	129.30011840552726	132.98932191065515	136.7484969188154	140.56403995588363	396.67472511	
29	252.4230730746626	250.7318966040744	248.48076538235478	245.58147002122746	242.02225785727128	237.89071634575066	233.34510834549218	228.55108648370523	223.63252080729566	218.66091725337492	213.66091725337478	208.66091725337486	203.660917253375	198.66091725337486	193.6609172533749	188.66091725337475	183.60473559052798	178.3078395528484	172.53959257695914	166.20356318236054	159.41027845773604	152.39441685994117	145.3860961201098	138.5388631661012	131.93000003037415	125.59218033049744	119.5387803983948	113.77206224927536	108.27990153739182	103.03081868264536	98.27209465752135	94.5333054948117	92.18573139385506	91.15367941733709	91.03703775159825	91.3889636947862	91.88919391803175	92.37371814957976	92.79374813759397	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	100.38796308123509	102.32697855954817	104.52382856134783	106.96612533020793	109.63719375502379	112.51739647604116	115.58534207241433	118.81894848209645	122.19633973452045	125.69656239042645	129.30011840552726	132.98932191065515	136.7484969188154	396.67472511	
28	251.42307307466263	249.7318966040744	247.4807653823548	244.5814700212274	241.02225785727123	236.89071634575072	232.34510834549218	227.55108648370523	222.63252080729572	217.66091725337466	212.66091725337472	207.6609172533748	202.66091725337492	197.6609172533749	192.66091725337486	187.66091725337475	182.6434133140116	177.51492661605627	172.09317812098715	166.20811352385718	159.82514010012588	153.0683483182472	146.14021647040323	139.22666524109056	132.45294179131582	125.88961997330402	119.5754242041552	113.53265246771866	107.77017675283919	102.27942649402405	97.32954874779357	93.46733371089023	91.07318848322059	90.07025831730394	90.04668929206589	90.53513739709516	91.18960822566713	91.81950054264865	92.35264805934763	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	100.38796308123509	102.32697855954817	104.52382856134783	106.96612533020793	109.63719375502379	112.51739647604116	115.58534207241433	118.81894848209645	122.19633973452045	125.69656239042645	129.30011840552726	132.98932191065515	396.67472511	
27	250.42307307466268	248.7318966040744	246.48076538235478	243.58147002122735	240.02225785727128	235.8907163457507	231.3451083454921	226.55108648370526	221.6325208072957	216.6609172533749	211.6609172533749	206.6609172533747	201.6609172533749	196.66091725337483	191.66091725337478	186.66091725337478	181.6609172533748	176.64341331401178	171.51492661605621	166.09317812098715	160.2081135238571	153.82514010012585	147.0683483182472	140.14021647040332	133.2266652410905	126.4529417913159	119.88961997330408	113.57542420415515	107.53265246771869	101.77017675283926	96.57823625736626	92.5247878011624	90.00721669929914	88.95771540666952	88.96326819203284	89.54478893756288	90.33578192797604	91.11991485028403	91.79843045241654	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	100.38796308123509	102.32697855954817	104.52382856134783	106.96612533020793	109.63719375502379	112.51739647604116	115.58534207241433	118.81894848209645	122.19633973452045	125.69656239042645	129.30011840552726	396.67472511	
26	249.42307307466265	247.73189660407445	245.48076538235486	242.58147002122746	239.02225785727128	234.89071634575066	230.34510834549215	225.55108648370538	220.63252080729575	215.66091725337486	210.66091725337483	205.66091725337486	200.66091725337466	195.6609172533747	190.6609172533748	185.6609172533749	180.6609172533749	175.66091725337495	170.64341331401167	165.51492661605616	160.0931781209873	154.20811352385712	147.82514010012588	141.06834831824716	134.14021647040323	127.22666524109052	120.45294179131585	113.88961997330402	107.57542420415523	101.5326524677187	96.0689865161815	91.77347531073515	89.06467078957135	87.891743622748	87.85072528139845	88.46136783752978	89.34543346844374	90.26608855259293	91.09884476005195	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	100.38796308123509	102.32697855954817	104.52382856134783	106.96612533020793	109.63719375502379	112.51739647604116	115.58534207241433	118.81894848209645	122.19633973452045	125.69656239042645	396.67472511	
25	248.42307307466268	246.73189660407436	244.48076538235483	241.58147002122746	238.02225785727123	233.8907163457507	229.34510834549215	224.55108648370526	219.6325208072957	214.66091725337486	209.66091725337492	204.66091725337486	199.66091725337475	194.66091725337478	189.66091725337483	184.66091725337486	179.66091725337483	174.6609172533749	169.66091725337475	164.64341331401175	159.51492661605627	154.0931781209873	148.20811352385704	141.8251401001259	135.06834831824716	128.1402164704033	121.2266652410905	114.45294179131587	107.88961997330406	101.57542420415518	95.83146223106083	91.26422556955038	88.31335829914403	86.94919771302021	86.78475349747697	87.34882492689535	88.26201236841068	89.2757400930607	90.24501846236086	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	100.38796308123509	102.32697855954817	104.52382856134783	106.96612533020793	109.63719375502379	112.51739647604116	115.58534207241433	118.81894848209645	122.19633973452045	396.67472511	
24	247.42307307466263	245.73189660407436	243.48076538235483	240.58147002122743	237.0222578572712	232.89071634575075	228.34510834549206	223.55108648370526	218.6325208072958	213.66091725337478	208.66091725337486	203.660917253375	198.66091725337486	193.6609172533749	188.66091725337475	183.6609172533749	178.66091725337475	173.66091725337472	168.66091725337478	163.66091725337483	158.64341331401167	153.5149266160562	148.09317812098718	142.20811352385718	135.82514010012582	129.06834831824716	122.14021647040323	115.22666524109053	108.45294179131588	101.88961997330406	95.87423396749742	91.02670128442976	87.80410855795927	86.19788522259287	85.84220758774909	86.28285314297382	87.14946945777622	88.19231899302757	89.25467000282858	90.24015613384574	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	100.38796308123509	102.32697855954817	104.52382856134783	106.96612533020793	109.63719375502379	112.51739647604116	115.58534207241433	118.81894848209645	396.67472511	
23	246.42307307466268	244.73189660407442	242.48076538235483	239.5814700212274	236.02225785727123	231.8907163457508	227.34510834549206	222.5510864837053	217.63252080729558	212.66091725337472	207.6609172533748	202.66091725337492	197.6609172533749	192.66091725337486	187.66091725337475	182.66091725337478	177.66091725337486	172.66091725337475	167.66091725337492	162.66091725337486	157.66091725337478	152.6434133140117	147.5149266160562	142.09317812098712	136.20811352385712	129.82514010012576	123.06834831824717	116.1402164704032	109.22666524109049	102.4529417913159	96.18842973664627	91.0694730208663	87.56658427283868	85.68863548140821	85.09089509732179	85.340307233246	86.0834976738547	87.07977608239311	88.17124890279543	89.2498076743135	90.24015613384574	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	100.38796308123509	102.32697855954817	104.52382856134783	106.96612533020793	109.63719375502379	112.51739647604116	115.58534207241433	396.67472511	
22	245.42307307466263	243.7318966040744	241.4807653823548	238.58147002122746	235.02225785727117	230.8907163457507	226.34510834549206	221.5510864837053	216.6325208072958	211.6609172533749	206.6609172533747	201.6609172533749	196.66091725337483	191.66091725337478	186.66091725337478	181.6609172533748	176.6609172533749	171.66091725337486	166.6609172533748	161.66091725337475	156.66091725337483	151.66091725337486	146.64341331401172	141.5149266160562	136.0931781209872	130.20811352385715	123.82514010012584	117.0683483182472	110.14021647040325	103.2266652410905	96.75175155465816	91.38366879001518	87.6093560092752	85.4511111962876	84.58164535613706	84.58899474281871	85.14095176412694	86.01380429847161	87.05870599216105	88.16638657428035	89.2498076743135	90.24015613384574	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	100.38796308123509	102.32697855954817	104.52382856134783	106.96612533020793	109.63719375502379	112.51739647604116	396.67472511	
21	244.4230791884356	242.73190271784736	240.48077149612791	237.58147613500054	234.02226397104408	229.89072245952374	225.34511445926518	220.55109259747826	215.63252692106877	210.66092336714786	205.66092336714777	200.6609233671477	195.66092336714777	190.6609233671479	185.66092336714783	180.6609233671479	175.66092336714786	170.66092336714786	165.66092336714783	160.66092336714792	155.6609233671478	150.6609233671479	145.66092336714777	140.6434194277847	135.51493272982913	130.09318423476026	124.20811963763013	117.82514621389888	111.06835412754434	104.14022136627287	97.52547853016105	91.94699276361399	87.92355290640509	85.49388344414156	84.34412127415217	84.07974507264888	84.38963929516929	85.07125839369836	85.99273420823951	87.05384366364595	88.16638657428035	89.2498076743135	90.24015613384574	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	100.38796308123509	102.32697855954817	104.52382856134783	106.96612533020793	109.63719375502379	396.67472511	
