[3.8703857142854154, 6.780171428571457, 4.666466666666844, 5.891557142856852, 9.0, 3.6665333333334145]
[2.0, 0.0, 2.0, 0.0, 0.0, 0.0]
[9.0, 5.710014285714306, 6.788142857142893, 6.795985714285758, 3.6665333333334145, 0.0]
[3.0, 4.0, 4.0, 3.0, 3.0, -Infinity]
[4.4998666666667475, 9.0, 4.4998666666667475, 9.0, 5.499800000000178, 3.6665333333334145]
[2.0, 2.0, 3.0, 2.0, 3.0, 2.0]
[7.506328571428611, 3.6665333333334145, 8.571214285714486, 9.0, 4.666466666666844, 3.6665333333334145]
[3.0, 3.0, 3.0, 3.0, 3.0, 3.0]
[6.789128571428608, 6.792342857142897, 6.794228571428613, 9.0, 6.785571428571462, 3.6665333333334145]
[3.0, 3.0, 3.0, 3.0, 3.0, 3.0]
[3.93846666666707, 9.0, 5.166466666666845, 6.869900000001725, 0.0, 5.566466666666844]
[2.0, 0.0, 0.0, 0.0, -Infinity, 0.0]
[6.71253333333282, 7.8569285714287735, 6.499733333333496, 6.804385714285766, 4.666466666666844, 0.0]
[3.0, 9.0, 3.0, 3.0, 3.0, -Infinity]
[9.0, 7.027999999998479, 8.571042857143059, 9.0, 5.701400000000017, 2.6666000000000407]
[0.0, 0.0, 0.0, 0.0, 2.0, 0.0]
[4.4998666666667475, 9.0, 4.4998666666667475, 7.499250000000702, 0.0, 6.499733333333496]
[2.0, 2.0, 2.0, 2.0, -Infinity, 3.0]
[4.4998666666667475, 6.499733333333496, 4.666466666666845, 8.5605000000002, 4.4998666666667475, 2.6666000000000407]
[2.0, 3.0, 3.0, 2.0, 3.0, 2.0]
[3.891471428571138, 6.788057142857179, 9.0, 5.878057142856846, 9.0, 3.6665333333334145]
[2.0, 2.0, 2.0, 2.0, 2.0, 0.0]
[6.98849999999968, 9.000000000000007, 6.796628571428616, 6.786342857142891, 3.6665333333334145, 0.0]
[3.0, 4.0, 4.0, 3.0, 3.0, -Infinity]
[8.499100000000801, 5.499800000000178, 4.99840000000053, 9.0, 5.499800000000178, 3.6665333333334145]
[3.0, 3.0, 3.0, 3.0, 3.0, 2.0]
[7.5095428571429, 3.6665333333334145, 8.569500000000202, 9.0, 4.666466666666844, 3.6665333333334145]
[3.0, 3.0, 4.0, 3.0, 3.0, 2.0]
[9.0, 6.885728571428277, 6.797442857142902, 9.0, 6.798214285714332, 3.6665333333334145]
[3.0, 3.0, 3.0, 3.0, 3.0, 2.0]
[5.04116666666639, 6.683066666666829, 9.000000000000002, 7.249400000000365, 7.574250000000703, 5.566466666666844]
[2.0, 2.0, 0.0, 2.0, 2.0, 0.0]
[6.696533333332825, 8.660266666666939, 6.499733333333496, 6.797400000000045, 4.666466666666844, 0.0]
[3.0, 9.0, 4.0, 3.0, 3.0, -Infinity]
[9.0, 7.499250000000702, 8.562642857143057, 9.0, 5.713785714285736, 0.0]
[0.0, 2.0, 3.0, 0.0, 3.0, -Infinity]
[8.302599999998947, 5.499800000000178, 9.0, 7.499250000000702, 8.499100000000801, 6.499733333333496]
[3.0, 3.0, 3.0, 3.0, 3.0, 3.0]
[8.568685714285916, 6.499733333333496, 4.666466666666844, 8.571171428571631, 4.4998666666667475, 0.0]
[2.0, 3.0, 3.0, 3.0, 3.0, -Infinity]
[3.8900142857139937, 6.791442857142897, 4.666466666666845, 5.88688571428542, 9.0, 3.6665333333334145]
[2.0, 2.0, 3.0, 3.0, 2.0, 2.0]
[6.991285714285395, 9.000000000000009, 6.793885714285755, 6.785657142857176, 3.6665333333334145, 0.0]
[4.0, 9.0, 9.0, 3.0, 3.0, -Infinity]
[8.499100000000801, 6.031500000000539, 5.03030000000054, 9.0, 5.499800000000178, 3.6665333333334145]
[3.0, 4.0, 4.0, 3.0, 3.0, 3.0]
[7.509285714285757, 3.6665333333334145, 8.571214285714486, 9.0, 4.666466666666844, 3.6665333333334145]
[3.0, 3.0, 9.0, 4.0, 3.0, 3.0]
[6.7807285714286, 6.893014285713995, 6.7835142857143165, 9.0, 6.793800000000042, 3.6665333333334145]
[3.0, 3.0, 3.0, 3.0, 3.0, 3.0]
