[6188.07636776929, 6666.4609900598525, 10886.409123912075, 48.764, 24.385, 690.478]
[8752.691974050835, 9245.008321229498, 12793.017990296372, 47.581, 171.44, 1700.604]
[6413.855883635076, 7250.885207673797, 11650.366060807548, 33.776, 29.575, 741.323]
[8993.270462003971, 9829.916662735315, 14159.145329359593, 54.33, 65.7, 1178.329]
[6598.000405034564, 8144.032099568569, 26387.798201546433, 53.022, 33.839, 793.555]
[9186.610029734606, 10740.22747802258, 28913.806556010313, 52.532, 56.59, 1173.71]
[9321.502680550446, 9429.969938338294, 13094.402496770917, 52.349, 27.025, 259.153]
[11885.937667373328, 12005.57138552889, 14491.393864451577, 51.46, 42.162, 399.953]
[9626.061793766496, 10040.76497913421, 13750.567069735978, 51.474, 27.804, 286.882]
[12206.420613005223, 12619.093005245863, 16550.524211606033, 51.795, 38.584, 423.493]
[9856.019284150178, 10762.37795004878, 17926.610898555926, 51.83, 30.662, 549.263]
[12448.000959254821, 13359.013708912287, 20456.759080488177, 52.003, 36.267, 741.124]
[12321.501924438458, 11529.346646396694, 15027.87445742831, 51.863, 25.203, 124.886]
[14885.933560519701, 14072.754787394813, 16436.88532618749, 51.909, 31.363, 233.045]
[12626.496026426128, 12114.34893615136, 15676.49428219857, 51.477, 26.592, 141.499]
[15206.861439351735, 14685.208872439787, 18495.255973473322, 51.455, 29.938, 250.782]
[12859.496647724765, 12860.529386394415, 22580.21650943121, 51.455, 28.178, 207.031]
[15452.171118295366, 15441.685513064398, 25041.09248130303, 51.472, 32.717, 265.623]
[6533.389945155556, 8447.713223323939, 13329.126636244138, 70.151, 37.811, 587.333]
[9102.537647965586, 10958.078389039918, 15724.43205009528, 70.059, 81.572, 1509.422]
[6858.566911776361, 10014.249451280859, 18563.767038347276, 70.127, 43.866, 630.675]
[9446.893973522107, 12598.041278798013, 21030.27542494361, 71.291, 72.455, 1233.514]

std=0.3
[6830.978341622931, 9994.808813980044, 15376.39426908896, 85.082, 31.717, 608.655]
[9410.658589425988, 12527.47582060724, 17837.018858937547, 57.464, 79.022, 1815.592]
[7223.536396981147, 12732.8400814024, 22139.376111589565, 95.056, 37.198, 754.953]
[9823.979985349537, 15306.718462441177, 27918.536671600377, 92.902, 70.903, 1374.039]
[7527.787804000827, 18688.742146950437, 37933.387538746334, 89.257, 42.536, 1061.123]
[10140.98859550324, 21268.88199375881, 40445.11145969507, 89.167, 75.244, 1395.178]
[10064.373114277152, 12445.32033068345, 23560.20350071961, 89.015, 32.773, 255.449]
[12638.8425760786, 14999.86528150921, 25603.93032173235, 90.263, 51.743, 433.28]
[10560.162265339273, 15091.109066045034, 30101.28328929333, 92.02, 38.776, 294.179]
[13168.948016508206, 17662.691064820396, 32289.832399761028, 91.927, 54.872, 441.143]
[10936.395779888257, 17533.781779460216, 40724.379196094545, 91.773, 38.772, 618.683]
[13565.05045249402, 20191.151183264097, 43116.27934258382, 94.428, 51.015, 937.439]
[12994.841311084996, 14052.23272570247, 25321.849061263034, 92.915, 25.713, 168.294]
[15562.747482516472, 16647.977169437476, 27339.4884340884, 90.815, 36.979, 293.438]
[13566.519559398866, 15999.36269037772, 31908.461479452377, 90.963, 27.96, 219.638]
[16174.60707885007, 18710.10611752855, 34042.61019085125, 90.926, 39.53, 315.501]
[13995.000937840103, 19453.727590913975, 72403.58520126517, 91.011, 35.489, 292.054]
[16628.476605774762, 22080.07437417791, 74678.47580558165, 90.862, 39.762, 403.991]
