[0.047, 163.571, 0.094, 9.747, 7.738]
[0.005, 164.12, 0.094, 8.855, 12.26]
[0.012, 151.22, 0.078, 7.25, 5.84]
[0.012, 152.213, 0.093, 4.255, 4.265]
[0.006, 155.983, 0.109, 6.069, 5.808]
[0.015, 150.601, 0.094, 6.61, 7.34]
[0.01, 162.86, 0.094, 11.747, 11.73]
[0.006, 149.54, 0.093, 10.9, 4.715]
[0.005, 155.106, 0.094, 8.132, 4.827]
[0.006, 141.807, 0.078, 7.085, 5.78]
[0.002, 165.65, 0.094, 9.638, 9.388]
[0.012, 163.679, 0.094, 11.873, 15.153]
[0.004, 145.893, 0.078, 4.535, 4.577]
[0.006, 141.48, 0.079, 4.482, 4.499]
[0.008, 153.211, 0.078, 4.702, 0.687]
[0.01, 148.186, 0.094, 7.11, 7.477]
[0.007, 160.849, 0.093, 11.235, 11.775]
[0.003, 150.587, 0.078, 9.539, 3.53]
[0.009, 153.834, 0.078, 5.083, 4.686]
[0.01, 142.173, 0.078, 5.907, 4.124]
[0.007, 163.419, 0.094, 10.19, 10.526]
[0.016, 164.676, 0.094, 13.581, 16.793]
[0.006, 145.762, 0.079, 4.505, 4.483]
[0.009, 141.291, 0.094, 4.458, 4.419]
[0.013, 154.197, 0.078, 5.666, 5.608]
[0.008, 148.289, 0.078, 6.049, 7.967]
[0.007, 160.972, 0.094, 11.654, 11.744]
[0.002, 147.614, 0.078, 6.335, 6.296]
[0.011, 153.975, 0.094, 5.458, 5.139]
[0.006, 140.855, 0.079, 4.536, 4.562]
[0.012, 163.713, 0.094, 8.781, 7.685]
[0.013, 163.955, 0.094, 9.114, 12.604]
[0.0, 146.186, 0.094, 7.418, 5.717]
[0.007, 141.623, 0.078, 4.613, 4.156]
[0.001, 153.627, 0.078, 5.78, 5.764]
[0.009, 148.326, 0.078, 6.733, 7.186]
[0.013, 160.858, 0.093, 11.917, 11.56]
[0.001, 151.172, 0.078, 13.397, 5.527]
[0.002, 170.224, 0.099, 8.798, 10.683]
[0.002, 161.394, 0.081, 8.163, 8.162]
[0.002, 172.21, 0.098, 9.786, 9.562]
[0.001, 168.025, 0.097, 12.446, 15.899]
[0.006, 150.01, 0.094, 4.359, 4.734]
[0.001, 145.569, 0.087, 4.467, 4.688]
[0.001, 157.389, 0.078, 4.917, 0.724]
[0.002, 153.123, 0.088, 7.396, 5.876]
[0.009, 165.163, 0.093, 11.728, 12.16]
[0.002, 152.166, 0.089, 10.074, 3.764]
[0.001, 165.033, 0.094, 5.231, 5.331]
[0.001, 190.657, 0.109, 7.678, 5.788]
[0.001, 215.371, 0.123, 13.947, 14.654]
[0.001, 215.559, 0.132, 18.785, 23.178]
[0.002, 192.127, 0.109, 6.402, 6.247]
[0.001, 185.707, 0.107, 6.142, 6.134]
[0.002, 203.728, 0.113, 7.62, 0.93]
[0.002, 199.642, 0.127, 9.748, 12.91]
[0.002, 215.723, 0.125, 15.38, 16.254]
[0.001, 197.995, 0.117, 8.79, 8.745]
[0.001, 205.416, 0.126, 7.531, 0.976]
[0.001, 197.08, 0.109, 6.43, 5.949]
