4	[-20, -2]	[36, 21]	[37, 20]	[38, 19]	[39, 18]	
4	[-20, -1]	[36, 20]	[37, 19]	[38, 18]	[39, 17]	
4	[-20, 0]	[36, 19]	[37, 18]	[38, 17]	[39, 16]	
4	[-20, 1]	[36, 18]	[37, 17]	[38, 16]	[39, 15]	
4	[-20, 2]	[36, 17]	[37, 16]	[38, 15]	[39, 14]	
4	[-19, -23]	[37, 40]	[38, 39]	
4	[-19, -22]	[36, 40]	[37, 39]	[38, 38]	
4	[-19, -21]	[35, 40]	[36, 39]	[37, 38]	[38, 37]	
4	[-19, -20]	[35, 39]	[36, 38]	[37, 37]	[38, 36]	
4	[-19, -19]	[35, 38]	[36, 37]	[37, 36]	[38, 35]	
4	[-19, -18]	[35, 37]	[36, 36]	[37, 35]	[38, 34]	
4	[-19, -17]	[35, 36]	[36, 35]	[37, 34]	[38, 33]	
4	[-19, -16]	[35, 35]	[36, 34]	[37, 33]	[38, 32]	
4	[-19, -15]	[35, 34]	[36, 33]	[37, 32]	[38, 31]	
4	[-19, -14]	[35, 33]	[36, 32]	[37, 31]	[38, 30]	
4	[-19, -13]	[35, 32]	[36, 31]	[37, 30]	[38, 29]	
4	[-19, -12]	[35, 31]	[36, 30]	[37, 29]	[38, 28]	
4	[-19, -11]	[35, 30]	[36, 29]	[37, 28]	[38, 27]	
4	[-19, -10]	[35, 29]	[36, 28]	[37, 27]	[38, 26]	
4	[-19, -9]	[35, 28]	[36, 27]	[37, 26]	[38, 25]	
4	[-19, -8]	[35, 27]	[36, 26]	[37, 25]	[38, 24]	
4	[-19, -7]	[35, 26]	[36, 25]	[37, 24]	[38, 23]	
4	[-19, -6]	[35, 25]	[36, 24]	[37, 23]	[38, 22]	
4	[-19, -5]	[35, 24]	[36, 23]	[37, 22]	[38, 21]	
4	[-19, -4]	[35, 23]	[36, 22]	[37, 21]	[38, 20]	
4	[-19, -3]	[35, 22]	[36, 21]	[37, 20]	[38, 19]	
4	[-19, -2]	[35, 21]	[36, 20]	[37, 19]	[38, 18]	
4	[-19, -1]	[35, 20]	[36, 19]	[37, 18]	[38, 17]	
4	[-19, 0]	[35, 19]	[36, 18]	[37, 17]	[38, 16]	
4	[-19, 1]	[35, 18]	[36, 17]	[37, 16]	[38, 15]	
4	[-19, 2]	[35, 17]	[36, 16]	[37, 15]	[38, 14]	
4	[-18, -23]	[36, 40]	[37, 39]	
4	[-18, -22]	[35, 40]	[36, 39]	[37, 38]	
4	[-18, -21]	[34, 40]	[35, 39]	[36, 38]	[37, 37]	
4	[-18, -20]	[34, 39]	[35, 38]	[36, 37]	[37, 36]	
4	[-18, -19]	[34, 38]	[35, 37]	[36, 36]	[37, 35]	
4	[-18, -18]	[34, 37]	[35, 36]	[36, 35]	[37, 34]	
4	[-18, -17]	[34, 36]	[35, 35]	[36, 34]	[37, 33]	
4	[-18, -16]	[34, 35]	[35, 34]	[36, 33]	[37, 32]	
4	[-18, -15]	[34, 34]	[35, 33]	[36, 32]	[37, 31]	
4	[-18, -14]	[34, 33]	[35, 32]	[36, 31]	[37, 30]	
4	[-18, -13]	[34, 32]	[35, 31]	[36, 30]	[37, 29]	
4	[-18, -12]	[34, 31]	[35, 30]	[36, 29]	[37, 28]	
4	[-18, -11]	[34, 30]	[35, 29]	[36, 28]	[37, 27]	
4	[-18, -10]	[34, 29]	[35, 28]	[36, 27]	[37, 26]	
4	[-18, -9]	[34, 28]	[35, 27]	[36, 26]	[37, 25]	
4	[-18, -8]	[34, 27]	[35, 26]	[36, 25]	[37, 24]	
4	[-18, -7]	[34, 26]	[35, 25]	[36, 24]	[37, 23]	
4	[-18, -6]	[34, 25]	[35, 24]	[36, 23]	[37, 22]	
4	[-18, -5]	[34, 24]	[35, 23]	[36, 22]	[37, 21]	
4	[-18, -4]	[34, 23]	[35, 22]	[36, 21]	[37, 20]	
4	[-18, -3]	[34, 22]	[35, 21]	[36, 20]	[37, 19]	
4	[-18, -2]	[34, 21]	[35, 20]	[36, 19]	[37, 18]	
4	[-18, -1]	[34, 20]	[35, 19]	[36, 18]	[37, 17]	
4	[-18, 0]	[34, 19]	[35, 18]	[36, 17]	[37, 16]	
4	[-18, 1]	[34, 18]	[35, 17]	[36, 16]	[37, 15]	
4	[-18, 2]	[34, 17]	[35, 16]	[36, 15]	[37, 14]	
4	[-17, -23]	[35, 40]	[36, 39]	
4	[-17, -22]	[34, 40]	[35, 39]	[36, 38]	
4	[-17, -21]	[33, 40]	[34, 39]	[35, 38]	[36, 37]	
4	[-17, -20]	[33, 39]	[34, 38]	[35, 37]	[36, 36]	
4	[-17, -19]	[33, 38]	[34, 37]	[35, 36]	[36, 35]	
4	[-17, -18]	[33, 37]	[34, 36]	[35, 35]	[36, 34]	
4	[-17, -17]	[33, 36]	[34, 35]	[35, 34]	[36, 33]	
4	[-17, -16]	[33, 35]	[34, 34]	[35, 33]	[36, 32]	
4	[-17, -15]	[33, 34]	[34, 33]	[35, 32]	[36, 31]	
4	[-17, -14]	[33, 33]	[34, 32]	[35, 31]	[36, 30]	
4	[-17, -13]	[33, 32]	[34, 31]	[35, 30]	[36, 29]	
4	[-17, -12]	[33, 31]	[34, 30]	[35, 29]	[36, 28]	
4	[-17, -11]	[33, 30]	[34, 29]	[35, 28]	[36, 27]	
4	[-17, -10]	[33, 29]	[34, 28]	[35, 27]	[36, 26]	
4	[-17, -9]	[33, 28]	[34, 27]	[35, 26]	[36, 25]	
4	[-17, -8]	[33, 27]	[34, 26]	[35, 25]	[36, 24]	
4	[-17, -7]	[33, 26]	[34, 25]	[35, 24]	[36, 23]	
4	[-17, -6]	[33, 25]	[34, 24]	[35, 23]	[36, 22]	
4	[-17, -5]	[33, 24]	[34, 23]	[35, 22]	[36, 21]	
4	[-17, -4]	[33, 23]	[34, 22]	[35, 21]	[36, 20]	
