	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
30	95.90250176632021	95.90250176632021	95.90590247718143	95.90590247718143	95.90590247718143	95.90590247718143	95.90590247718143	95.90590247718143	95.90590247718143	95.90590247718143	95.90590247718143	95.90590247718143	95.90590247718143	95.90590247718143	95.90590247718143	95.90590247718143	95.90590247718143	95.90590247718143	93.76241021578087	90.15869279839907	87.13463875098235	84.66041545232073	82.64674761744392	80.98504076638127	79.58534121957477	78.39750968921642	77.4124790824181	76.64935300145036	76.13719490747165	75.89877276587691	75.9400462251268	76.24606411884939	76.78212076278288	77.49766257252993	78.33480352430021	79.23388935874532	80.14028861090645	81.01000287014404	81.81363597037166	82.53844186468407	83.18840587737105	83.7825642504937	84.35197522885754	84.93587782311036	85.57759580699364	86.3206748471997	87.20561134024739	88.26737737681371	89.53380551013053	91.02478582168399	92.7521576051263	94.72014430612346	96.92617519094428	99.36194937421294	102.01461923074933	104.86799409283888	107.90368867024331	111.1021618872495	114.44361078309292	117.90870042779068	121.47912467807933	
29	95.90250176632023	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	94.20892267632352	90.633681883616	87.66671451794795	85.27936396654782	83.37107672205161	81.81017168497434	80.4778008709279	79.29774376109799	78.2451713160145	77.33750688581921	76.61567467983974	76.12414432223488	75.89537205501564	75.9400462251268	76.24606411884939	76.78212076278288	77.49766257252993	78.33480352430021	79.23388935874532	80.14028861090645	81.01000287014404	81.81363597037166	82.53844186468407	83.18840587737105	83.7825642504937	84.35197522885754	84.93587782311036	85.57759580699364	86.3206748471997	87.20561134024739	88.26737737681371	89.53380551013053	91.02478582168399	92.7521576051263	94.72014430612346	96.92617519094428	99.36194937421294	102.01461923074933	104.86799409283888	107.90368867024331	111.1021618872495	114.44361078309292	117.90870042779068	
28	95.90250176632023	95.90250176632023	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.0117017357563	91.39140819752369	88.39102316218487	85.99872533109593	84.12210170792429	82.62245182388058	81.35895360341614	80.22519431630843	79.16773771928916	78.18552379302554	77.31551156273369	76.61242865222411	76.12414432223488	75.89537205501564	75.9400462251268	76.24606411884939	76.78212076278288	77.49766257252993	78.33480352430021	79.23388935874532	80.14028861090645	81.01000287014404	81.81363597037166	82.53844186468407	83.18840587737105	83.7825642504937	84.35197522885754	84.93587782311036	85.57759580699364	86.3206748471997	87.20561134024739	88.26737737681371	89.53380551013053	91.02478582168399	92.7521576051263	94.72014430612346	96.92617519094428	99.36194937421294	102.01461923074933	104.86799409283888	107.90368867024331	111.1021618872495	114.44361078309292	
27	95.90250176632023	95.90250176632023	95.90250176632023	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	94.17201184364203	90.8946718230711	88.22180825379911	86.11816793690161	84.48811563825474	83.2002643183149	82.11824192830444	81.12925397347671	80.13267583296357	79.13824154396455	78.18552379302554	77.31551156273369	76.61242865222411	76.12414432223488	75.89537205501564	75.9400462251268	76.24606411884939	76.78212076278288	77.49766257252993	78.33480352430021	79.23388935874532	80.14028861090645	81.01000287014404	81.81363597037166	82.53844186468407	83.18840587737105	83.7825642504937	84.35197522885754	84.93587782311036	85.57759580699364	86.3206748471997	87.20561134024739	88.26737737681371	89.53380551013053	91.02478582168399	92.7521576051263	94.72014430612346	96.92617519094428	99.36194937421294	102.01461923074933	104.86799409283888	107.90368867024331	111.1021618872495	
26	95.9025017663202	95.90250176632023	95.90250176632023	95.90250176632023	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	92.71043015973363	89.84885529134581	87.54376827959342	85.73545553633203	84.32446829370167	83.18940551120278	82.11824192830444	81.12925397347671	80.13267583296357	79.13824154396455	78.18552379302554	77.31551156273369	76.61242865222411	76.12414432223488	75.89537205501564	75.9400462251268	76.24606411884939	76.78212076278288	77.49766257252993	78.33480352430021	79.23388935874532	80.14028861090645	81.01000287014404	81.81363597037166	82.53844186468407	83.18840587737105	83.7825642504937	84.35197522885754	84.93587782311036	85.57759580699364	86.3206748471997	87.20561134024739	88.26737737681371	89.53380551013053	91.02478582168399	92.7521576051263	94.72014430612346	96.92617519094428	99.36194937421294	102.01461923074933	104.86799409283888	107.90368867024331	
25	95.90250176632023	95.9025017663202	95.90250176632023	95.90250176632023	95.90250176632023	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	94.83637716660049	91.83434795504763	89.34631989681742	87.34247180981983	85.73545553633203	84.32446829370167	83.18940551120278	82.11824192830444	81.12925397347671	80.13267583296357	79.13824154396455	78.18552379302554	77.31551156273369	76.61242865222411	76.12414432223488	75.89537205501564	75.9400462251268	76.24606411884939	76.78212076278288	77.49766257252993	78.33480352430021	79.23388935874532	80.14028861090645	81.01000287014404	81.81363597037166	82.53844186468407	83.18840587737105	83.7825642504937	84.35197522885754	84.93587782311036	85.57759580699364	86.3206748471997	87.20561134024739	88.26737737681371	89.53380551013053	91.02478582168399	92.7521576051263	94.72014430612346	96.92617519094428	99.36194937421294	102.01461923074933	104.86799409283888	
24	95.90250176632023	95.90250176632023	95.9025017663202	95.90250176632023	95.90250176632023	95.90250176632023	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	94.19572130221437	91.59610950211844	89.34631989681742	87.34247180981983	85.73545553633203	84.32446829370167	83.18940551120278	82.11824192830444	81.12925397347671	80.13267583296357	79.13824154396455	78.18552379302554	77.31551156273369	76.61242865222411	76.12414432223488	75.89537205501564	75.9400462251268	76.24606411884939	76.78212076278288	77.49766257252993	78.33480352430021	79.23388935874532	80.14028861090645	81.01000287014404	81.81363597037166	82.53844186468407	83.18840587737105	83.7825642504937	84.35197522885754	84.93587782311036	85.57759580699364	86.3206748471997	87.20561134024739	88.26737737681371	89.53380551013053	91.02478582168399	92.7521576051263	94.72014430612346	96.92617519094428	99.36194937421294	102.01461923074933	
23	95.90250176632024	95.90250176632023	95.90250176632023	95.9025017663202	95.90250176632023	95.90250176632023	95.90250176632023	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	94.19572130221437	91.59610950211844	89.34631989681742	87.34247180981983	85.73545553633203	84.32446829370167	83.18940551120278	82.11824192830444	81.12925397347671	80.13267583296357	79.13824154396455	78.18552379302554	77.31551156273369	76.61242865222411	76.12414432223488	75.89537205501564	75.9400462251268	76.24606411884939	76.78212076278288	77.49766257252993	78.33480352430021	79.23388935874532	80.14028861090645	81.01000287014404	81.81363597037166	82.53844186468407	83.18840587737105	83.7825642504937	84.35197522885754	84.93587782311036	85.57759580699364	86.3206748471997	87.20561134024739	88.26737737681371	89.53380551013053	91.02478582168399	92.7521576051263	94.72014430612346	96.92617519094428	99.36194937421294	
22	95.90250176632021	95.90250176632024	95.90250176632023	95.90250176632023	95.9025017663202	95.90250176632023	95.90250176632023	95.90250176632023	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	94.19572130221437	91.59610950211844	89.34631989681742	87.34247180981983	85.73545553633203	84.32446829370167	83.18940551120278	82.11824192830444	81.12925397347671	80.13267583296357	79.13824154396455	78.18552379302554	77.31551156273369	76.61242865222411	76.12414432223488	75.89537205501564	75.9400462251268	76.24606411884939	76.78212076278288	77.49766257252993	78.33480352430021	79.23388935874532	80.14028861090645	81.01000287014404	81.81363597037166	82.53844186468407	83.18840587737105	83.7825642504937	84.35197522885754	84.93587782311036	85.57759580699364	86.3206748471997	87.20561134024739	88.26737737681371	89.53380551013053	91.02478582168399	92.7521576051263	94.72014430612346	96.92617519094428	
21	95.9025017663202	95.90250176632021	95.90250176632024	95.90250176632023	95.90250176632023	95.9025017663202	95.90250176632023	95.90250176632023	95.90250176632023	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	95.90250176632021	94.19572130221437	91.59610950211844	89.34631989681742	87.34247180981983	85.73545553633203	84.32446829370167	83.18940551120278	82.11824192830444	81.12925397347671	80.13267583296357	79.13824154396455	78.18552379302554	77.31551156273369	76.61242865222411	76.12414432223488	75.89537205501564	75.9400462251268	76.24606411884939	76.78212076278288	77.49766257252993	78.33480352430021	79.23388935874532	80.14028861090645	81.01000287014404	81.81363597037166	82.53844186468407	83.18840587737105	83.7825642504937	84.35197522885754	84.93587782311036	85.57759580699364	86.3206748471997	87.20561134024739	88.26737737681371	89.53380551013053	91.02478582168399	92.7521576051263	94.72014430612346	
